id;lenpayload;lsnr;rssi;latitude;longitude;flag
438;10;-2.5;-96.0;39,462276;-8,473784;0
439;16;10.0;-25.0;39,462276;-8,473784;0
440;16;9.0;-25.0;38,75594;-9,116073;0
441;16;10.0;-29.0;38,756084;-9,116;0
442;10;10.0;-27.0;38,75589;-9,115943;0
443;10;10.0;-27.0;38,755608;-9,116038;0
444;10;10.75;-29.0;38,755978;-9,115926;0
445;10;10.5;-29.0;38,756157;-9,115878;0
446;16;11.5;-27.0;38,755863;-9,116006;0
447;16;7.75;-25.0;38,755756;-9,115911;0
448;10;9.25;-26.0;38,75589;-9,116003;0
449;10;9.5;-29.0;38,75586;-9,115931;0
450;10;8.0;-27.0;38,756073;-9,115995;0
451;10;8.0;-26.0;38,75595;-9,115948;0
452;16;9.75;-31.0;38,755894;-9,116038;0
453;16;6.75;-27.0;38,7562;-9,115895;0
454;10;8.5;-26.0;38,755695;-9,11604;0
455;10;9.25;-26.0;38,75594;-9,11597;0
456;10;9.5;-27.0;38,75604;-9,116103;0
457;10;9.5;-27.0;38,756012;-9,115736;0
458;10;9.0;-25.0;38,756096;-9,11591;0
459;10;8.75;-30.0;38,75592;-9,11603;0
460;10;7.25;-32.0;38,755913;-9,115763;0
461;10;6.75;-42.0;38,756325;-9,115883;0
462;10;10.5;-33.0;38,756073;-9,115963;0
463;10;10.0;-33.0;38,756184;-9,115991;0
464;16;10.25;-35.0;38,7561;-9,115991;0
465;16;10.0;-29.0;38,756176;-9,115901;0
466;10;11.25;-33.0;38,755856;-9,116078;0
467;10;7.75;-30.0;38,755943;-9,115985;0
468;10;7.25;-31.0;38,756077;-9,115975;0
469;10;7.75;-30.0;38,755825;-9,115975;0
470;16;7.75;-30.0;38,755943;-9,11599;0
471;16;10.0;-31.0;38,755787;-9,115553;0
472;10;9.0;-30.0;38,75618;-9,115883;0
473;10;11.0;-30.0;38,75604;-9,115903;0
474;10;10.25;-30.0;38,75605;-9,115941;0
475;10;8.75;-30.0;38,755905;-9,116023;0
476;16;9.75;-32.0;38,756126;-9,115981;0
477;16;8.25;-29.0;38,755886;-9,116018;0
478;10;10.0;-30.0;38,755917;-9,115963;0
479;10;8.5;-28.0;38,755833;-9,116093;0
480;10;6.5;-29.0;38,75618;-9,115946;0
481;10;8.25;-30.0;38,75606;-9,115703;0
482;10;10.25;-33.0;38,755863;-9,116001;0
483;10;8.5;-30.0;38,755844;-9,116048;0
484;10;10.25;-32.0;38,75616;-9,11592;0
485;10;9.75;-30.0;38,75599;-9,116008;0
486;10;9.0;-31.0;38,756027;-9,116001;0
487;16;10.0;-31.0;38,756107;-9,116035;0
488;16;9.5;-30.0;38,756016;-9,115936;0
489;10;10.5;-32.0;38,755966;-9,11601;0
490;10;9.25;-29.0;38,755947;-9,115983;0
491;10;9.25;-27.0;38,756134;-9,11595;0
492;10;9.5;-31.0;38,756027;-9,115976;0
493;16;6.75;-29.0;38,75616;-9,11586;0
494;16;9.25;-27.0;38,756016;-9,11592;0
495;10;9.75;-29.0;38,75604;-9,115886;0
496;10;10.0;-30.0;38,755962;-9,115996;0
497;10;10.5;-29.0;38,756145;-9,115928;0
498;10;9.5;-29.0;38,75601;-9,115906;0
499;16;7.25;-29.0;38,756306;-9,115941;0
500;16;8.0;-29.0;38,756256;-9,115885;0
501;10;7.0;-29.0;38,75604;-9,115905;0
502;10;8.25;-27.0;38,755886;-9,116113;0
503;10;9.75;-30.0;38,75614;-9,116043;0
504;10;10.0;-31.0;38,755978;-9,11568;0
505;10;10.25;-30.0;38,755875;-9,11589;0
506;10;9.5;-27.0;38,756035;-9,115986;0
507;10;9.25;-34.0;38,755955;-9,11588;0
508;10;7.75;-29.0;38,755917;-9,116008;0
509;10;8.0;-29.0;38,755947;-9,116086;0
510;10;9.5;-31.0;38,756016;-9,115951;0
511;16;7.75;-31.0;38,755867;-9,115753;0
512;16;10.0;-31.0;38,75606;-9,115983;0
513;10;7.75;-29.0;38,756077;-9,115878;0
514;10;10.25;-31.0;38,755894;-9,116011;0
515;10;7.25;-29.0;38,756084;-9,116043;0
516;10;7.25;-29.0;38,75582;-9,116001;0
517;16;9.5;-31.0;38,75589;-9,115993;0
518;16;10.75;-29.0;38,755867;-9,116025;0
519;10;7.5;-27.0;38,75598;-9,116043;0
520;10;10.0;-29.0;38,756035;-9,115988;0
521;10;9.0;-27.0;38,755882;-9,11601;0
522;10;9.5;-29.0;38,756065;-9,116036;0
523;16;10.75;-31.0;38,75632;-9,115983;0
524;16;7.75;-31.0;38,756203;-9,11594;0
525;10;10.5;-29.0;38,75597;-9,115945;0
526;10;10.5;-31.0;38,75609;-9,116085;0
527;10;9.0;-27.0;38,756126;-9,11597;0
528;10;10.25;-29.0;38,756054;-9,11595;0
529;10;9.75;-29.0;38,75575;-9,115943;0
530;10;7.5;-27.0;38,755966;-9,116043;0
531;10;9.25;-29.0;38,7561;-9,115776;0
532;10;9.0;-29.0;38,756126;-9,115993;0
533;10;8.25;-27.0;38,756077;-9,115936;0
